epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,7830.59,0.5546,0.61194,1.11609,0.75752,0.79171,0.7756,0.59175,1.03863,0.77711,1.1516,0.00759571,0.00759571,0.00759571
87,7920.78,0.55078,0.60815,1.11127,0.80954,0.78319,0.80321,0.61256,1.0359,0.77483,1.1493,0.00756743,0.00756743,0.00756743
88,8011.05,0.53918,0.59346,1.11063,0.81814,0.79429,0.80562,0.6079,1.0257,0.80823,1.13822,0.00753914,0.00753914,0.00753914
89,8101.35,0.54954,0.60358,1.11237,0.81607,0.79429,0.8128,0.62589,0.99898,0.77153,1.12798,0.00751086,0.00751086,0.00751086
90,8191.75,0.55089,0.5979,1.12019,0.84013,0.80299,0.82986,0.62557,1.01379,0.75365,1.12225,0.00748257,0.00748257,0.00748257
91,8281.97,0.53835,0.58278,1.10865,0.847,0.78086,0.81956,0.62097,0.99398,0.73091,1.12896,0.00745429,0.00745429,0.00745429
92,8372.45,0.54396,0.58177,1.11414,0.83671,0.81625,0.83553,0.62441,1.00792,0.73444,1.13362,0.007426,0.007426,0.007426
93,8462.86,0.53943,0.5846,1.10808,0.81148,0.82244,0.84165,0.62734,1.03188,0.76683,1.15121,0.00739771,0.00739771,0.00739771
94,8553.23,0.5379,0.58372,1.10701,0.78403,0.81833,0.80052,0.61668,1.02322,0.77601,1.15651,0.00736943,0.00736943,0.00736943
95,8643.46,0.54601,0.57587,1.10784,0.84192,0.79249,0.82767,0.62312,1.08601,0.82863,1.23675,0.00734114,0.00734114,0.00734114
96,8733.67,0.53929,0.58948,1.10606,0.80161,0.80877,0.8118,0.62041,1.07601,0.78785,1.20722,0.00731286,0.00731286,0.00731286
97,8824,0.54251,0.58558,1.10893,0.85602,0.77985,0.81093,0.61731,1.03215,0.81113,1.17456,0.00728457,0.00728457,0.00728457
98,8914.27,0.536,0.58911,1.10356,0.84483,0.80645,0.81491,0.61614,1.0713,0.77252,1.18486,0.00725629,0.00725629,0.00725629
99,9004.65,0.54013,0.59244,1.10296,0.86258,0.77927,0.82671,0.62327,1.02422,0.72637,1.1414,0.007228,0.007228,0.007228
100,9094.96,0.524,0.56622,1.09786,0.83576,0.81307,0.82455,0.62523,1.04723,0.79351,1.18766,0.00719971,0.00719971,0.00719971
101,9185.42,0.53265,0.56767,1.10164,0.8241,0.81522,0.81951,0.61855,0.98548,0.72515,1.1217,0.00717143,0.00717143,0.00717143
102,9275.69,0.53551,0.56888,1.10323,0.81057,0.78997,0.8089,0.61936,1.02339,0.77677,1.15445,0.00714314,0.00714314,0.00714314
103,9365.99,0.53724,0.57222,1.1001,0.83007,0.79355,0.82414,0.61968,1.02744,0.73869,1.15603,0.00711486,0.00711486,0.00711486
104,9456.28,0.52965,0.55649,1.10062,0.83706,0.81934,0.83227,0.62958,1.0473,0.80054,1.16828,0.00708657,0.00708657,0.00708657
105,9546.48,0.53477,0.56787,1.0982,0.81964,0.78804,0.81879,0.6244,1.07053,0.84212,1.20584,0.00705829,0.00705829,0.00705829
106,9636.73,0.53676,0.56573,1.10073,0.82931,0.79046,0.82655,0.62218,1.04128,0.76599,1.16887,0.00703,0.00703,0.00703
107,9726.98,0.53252,0.57508,1.10505,0.84807,0.79568,0.82477,0.6288,1.03126,0.74602,1.1545,0.00700171,0.00700171,0.00700171
108,9817.17,0.5216,0.55074,1.09394,0.84723,0.80055,0.83317,0.63308,1.0036,0.69406,1.17257,0.00697343,0.00697343,0.00697343
109,9907.54,0.5461,0.55869,1.10344,0.82661,0.78898,0.81342,0.62092,1.04258,0.77061,1.19481,0.00694514,0.00694514,0.00694514
110,9998.06,0.53211,0.56061,1.09994,0.81439,0.79657,0.80958,0.6255,1.05936,0.76595,1.22915,0.00691686,0.00691686,0.00691686
111,10088.4,0.52866,0.55074,1.09746,0.83413,0.77156,0.8055,0.61669,1.02712,0.76593,1.18118,0.00688857,0.00688857,0.00688857
112,10178.8,0.54465,0.55704,1.10013,0.82208,0.80041,0.79802,0.62128,1.02235,0.73607,1.16631,0.00686029,0.00686029,0.00686029
113,10269.1,0.51124,0.53788,1.0916,0.79935,0.8111,0.81233,0.62402,0.96446,0.74403,1.10974,0.006832,0.006832,0.006832
114,10359.7,0.53082,0.56343,1.09918,0.80792,0.80591,0.82884,0.62899,1.01077,0.73752,1.15978,0.00680371,0.00680371,0.00680371
115,10450,0.52083,0.54934,1.09183,0.84383,0.79405,0.81848,0.62571,0.98072,0.74144,1.14144,0.00677543,0.00677543,0.00677543
116,10540.3,0.52614,0.55417,1.09892,0.88554,0.7687,0.82006,0.62828,0.99817,0.73473,1.14972,0.00674714,0.00674714,0.00674714
117,10630.6,0.5241,0.54752,1.09243,0.8434,0.78086,0.81375,0.62561,1.01974,0.78146,1.18612,0.00671886,0.00671886,0.00671886
118,10720.9,0.51874,0.54772,1.0902,0.8495,0.82468,0.82635,0.62741,1.03923,0.76595,1.17053,0.00669057,0.00669057,0.00669057
119,10811.2,0.51598,0.53881,1.08718,0.82586,0.81289,0.83177,0.63232,1.04513,0.76047,1.18204,0.00666229,0.00666229,0.00666229
120,10901.5,0.51564,0.54112,1.08826,0.85079,0.8188,0.84331,0.63322,1.05793,0.72791,1.18784,0.006634,0.006634,0.006634
121,10991.9,0.52117,0.53715,1.09113,0.83351,0.81807,0.82571,0.63282,1.0189,0.78514,1.15035,0.00660571,0.00660571,0.00660571
122,11082.1,0.51278,0.54381,1.08644,0.8638,0.77282,0.83378,0.63439,1.00442,0.72605,1.1377,0.00657743,0.00657743,0.00657743
123,11172.5,0.51127,0.52936,1.08684,0.81591,0.8297,0.82863,0.63046,0.99352,0.72934,1.1385,0.00654914,0.00654914,0.00654914
124,11262.8,0.51653,0.53798,1.08745,0.87581,0.80095,0.82491,0.63078,1.03179,0.71802,1.18692,0.00652086,0.00652086,0.00652086
125,11353,0.52532,0.54338,1.09172,0.85515,0.8111,0.8133,0.62574,1.01459,0.79314,1.17334,0.00649257,0.00649257,0.00649257
126,11443.3,0.51591,0.53829,1.08608,0.85421,0.8111,0.81958,0.61867,1.04837,0.76864,1.18869,0.00646429,0.00646429,0.00646429
127,11533.5,0.49701,0.51975,1.08088,0.85115,0.78445,0.81353,0.62314,1.02602,0.80414,1.18452,0.006436,0.006436,0.006436
128,11623.7,0.51103,0.53053,1.08757,0.84725,0.8111,0.83478,0.63684,1.01569,0.76483,1.1755,0.00640771,0.00640771,0.00640771
129,11714.2,0.49923,0.5178,1.07769,0.85688,0.79893,0.8264,0.62747,0.9842,0.75752,1.14395,0.00637943,0.00637943,0.00637943
130,11804.7,0.50587,0.51954,1.08112,0.84354,0.80516,0.82571,0.6352,0.96954,0.74928,1.12462,0.00635114,0.00635114,0.00635114
131,11895.1,0.49918,0.51016,1.07958,0.85711,0.8002,0.82938,0.63605,0.97405,0.72429,1.12913,0.00632286,0.00632286,0.00632286
132,11985.4,0.5176,0.52482,1.08746,0.86699,0.78663,0.82581,0.62815,1.01225,0.74593,1.16292,0.00629457,0.00629457,0.00629457
133,12075.9,0.50813,0.52008,1.08028,0.84592,0.79143,0.80753,0.62233,0.98006,0.71674,1.13989,0.00626629,0.00626629,0.00626629
134,12166.3,0.50772,0.52154,1.08415,0.85292,0.79311,0.81728,0.62966,0.98563,0.73215,1.15105,0.006238,0.006238,0.006238
135,12256.5,0.50476,0.51993,1.07596,0.84488,0.7935,0.8166,0.62864,0.99415,0.72629,1.16091,0.00620971,0.00620971,0.00620971
136,12346.7,0.51118,0.52769,1.08993,0.85666,0.79143,0.81393,0.61923,0.98906,0.73772,1.16067,0.00618143,0.00618143,0.00618143
137,12436.9,0.49956,0.50619,1.07768,0.83938,0.78678,0.81486,0.62486,1.01448,0.71967,1.179,0.00615314,0.00615314,0.00615314
138,12527.1,0.5111,0.51471,1.08501,0.83781,0.80673,0.82036,0.62736,1.0106,0.71141,1.18754,0.00612486,0.00612486,0.00612486
139,12617.3,0.49279,0.50752,1.07466,0.86853,0.80739,0.83899,0.63343,0.97255,0.68382,1.13246,0.00609657,0.00609657,0.00609657
140,12707.7,0.51114,0.52516,1.07904,0.85743,0.80179,0.84021,0.63377,0.99885,0.68144,1.16756,0.00606829,0.00606829,0.00606829
141,12798.1,0.49825,0.51324,1.07845,0.83108,0.81208,0.81627,0.62422,0.98255,0.677,1.1574,0.00604,0.00604,0.00604
142,12888.3,0.50228,0.51019,1.07839,0.86602,0.7892,0.83047,0.63536,1.01279,0.72476,1.18919,0.00601171,0.00601171,0.00601171
143,12978.9,0.49841,0.51396,1.07331,0.88133,0.79661,0.83439,0.63527,1.00331,0.70793,1.1795,0.00598343,0.00598343,0.00598343
144,13069.4,0.50125,0.5083,1.0789,0.86069,0.80824,0.83006,0.62794,1.01852,0.74911,1.19419,0.00595514,0.00595514,0.00595514
145,13159.6,0.50038,0.51401,1.07713,0.86229,0.80306,0.83318,0.61902,1.0793,0.77863,1.24243,0.00592686,0.00592686,0.00592686
146,13249.9,0.50205,0.5101,1.07638,0.80917,0.82515,0.81975,0.62186,1.0181,0.7339,1.18461,0.00589857,0.00589857,0.00589857
147,13340.3,0.49584,0.50308,1.07368,0.87657,0.78144,0.83288,0.62678,1.0063,0.75478,1.16006,0.00587029,0.00587029,0.00587029
148,13430.7,0.4949,0.50105,1.07066,0.80253,0.81522,0.82077,0.62404,1.02335,0.77792,1.17143,0.005842,0.005842,0.005842
149,13521.1,0.49128,0.50175,1.06869,0.86702,0.7909,0.82243,0.61914,1.0396,0.78884,1.18918,0.00581371,0.00581371,0.00581371
150,13611.5,0.4848,0.49312,1.06637,0.87089,0.78874,0.83787,0.62989,1.0339,0.76845,1.18513,0.00578543,0.00578543,0.00578543
151,13702,0.50014,0.50383,1.07108,0.84457,0.80824,0.81675,0.62109,1.03246,0.7923,1.19575,0.00575714,0.00575714,0.00575714
152,13792.4,0.48974,0.49904,1.0713,0.8427,0.80953,0.82038,0.62615,1.01037,0.79105,1.16103,0.00572886,0.00572886,0.00572886
153,13882.8,0.48597,0.49345,1.07618,0.85454,0.79841,0.82236,0.62558,0.99064,0.76494,1.14367,0.00570057,0.00570057,0.00570057
154,13973.1,0.48865,0.4905,1.06931,0.81889,0.82142,0.81445,0.62385,0.99119,0.77419,1.15571,0.00567229,0.00567229,0.00567229
155,14063.4,0.47511,0.47657,1.06496,0.82653,0.81003,0.81153,0.62056,1.01762,0.76172,1.1796,0.005644,0.005644,0.005644
156,14153.7,0.47828,0.47296,1.05744,0.86394,0.78159,0.81943,0.62625,1.01365,0.77627,1.18103,0.00561571,0.00561571,0.00561571
157,14244.1,0.48537,0.48841,1.06471,0.82816,0.81522,0.81897,0.62465,1.01115,0.79911,1.17949,0.00558743,0.00558743,0.00558743
158,14334.3,0.49022,0.49598,1.06452,0.82435,0.82008,0.82557,0.63001,0.98612,0.76326,1.15614,0.00555914,0.00555914,0.00555914
159,14424.8,0.49711,0.49828,1.06714,0.84353,0.80501,0.82474,0.63244,0.97313,0.77096,1.14734,0.00553086,0.00553086,0.00553086
160,14515.3,0.48484,0.4951,1.05875,0.85463,0.79429,0.8225,0.63163,1.00266,0.77142,1.1779,0.00550257,0.00550257,0.00550257
