epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,5101.06,1.67228,1.23129,1.45072,0.73336,0.53023,0.58806,0.23056,2.25902,1.64599,1.7487,0.000500767,0.000500767,0.000500767
108,5147.89,1.69844,1.23603,1.47454,0.73915,0.53953,0.6101,0.24043,2.22449,1.6226,1.74398,0.000489765,0.000489765,0.000489765
109,5194.77,1.67431,1.22119,1.4748,0.73178,0.52029,0.60175,0.24542,2.1856,1.65269,1.66021,0.000478762,0.000478762,0.000478762
110,5241.8,1.68361,1.19818,1.45162,0.78861,0.49767,0.57639,0.23067,2.26182,1.69701,1.7412,0.00046776,0.00046776,0.00046776
111,5288.57,1.67022,1.21871,1.46154,0.77049,0.52093,0.58659,0.23886,2.32293,1.66667,1.77215,0.000456758,0.000456758,0.000456758
112,5335.41,1.68559,1.18151,1.45243,0.7951,0.52093,0.61145,0.24251,2.323,1.6382,1.80438,0.000445756,0.000445756,0.000445756
113,5382.19,1.67829,1.20194,1.45595,0.77604,0.51163,0.60445,0.23856,2.36957,1.64379,1.82007,0.000434754,0.000434754,0.000434754
114,5429.11,1.64604,1.12864,1.4257,0.78185,0.51628,0.62317,0.2471,2.29707,1.58372,1.79308,0.000423751,0.000423751,0.000423751
115,5476.12,1.64528,1.16386,1.43077,0.78301,0.48372,0.60439,0.2428,2.31311,1.62744,1.82603,0.000412749,0.000412749,0.000412749
116,5522.98,1.6355,1.191,1.44667,0.75545,0.50698,0.59553,0.23976,2.36053,1.64785,1.82831,0.000401747,0.000401747,0.000401747
117,5569.87,1.63322,1.13505,1.4226,0.78519,0.49767,0.58713,0.2336,2.34988,1.63092,1.80541,0.000390745,0.000390745,0.000390745
118,5616.78,1.6152,1.13386,1.44418,0.78814,0.5537,0.60897,0.24054,2.26351,1.62398,1.76399,0.000379743,0.000379743,0.000379743
119,5663.57,1.64588,1.15141,1.43551,0.71222,0.55349,0.59033,0.23717,2.29999,1.63978,1.79933,0.00036874,0.00036874,0.00036874
120,5710.43,1.58026,1.1082,1.38964,0.76567,0.53023,0.59686,0.23801,2.33051,1.66754,1.80521,0.000357738,0.000357738,0.000357738
121,5757.28,1.61893,1.1115,1.43572,0.74835,0.53488,0.6065,0.2397,2.31565,1.63144,1.79348,0.000346736,0.000346736,0.000346736
122,5804.04,1.61646,1.1379,1.42014,0.78177,0.54419,0.61802,0.24008,2.27838,1.68277,1.77098,0.000335734,0.000335734,0.000335734
123,5850.98,1.59503,1.1175,1.40576,0.7465,0.52558,0.60427,0.241,2.2747,1.59879,1.80806,0.000324732,0.000324732,0.000324732
124,5897.88,1.60395,1.11071,1.41912,0.75104,0.52093,0.59086,0.24216,2.3399,1.65248,1.87387,0.000313729,0.000313729,0.000313729
125,5944.8,1.56976,1.07893,1.40851,0.77075,0.51602,0.60781,0.24152,2.34315,1.6269,1.88409,0.000302727,0.000302727,0.000302727
126,5991.65,1.59536,1.11827,1.41444,0.77606,0.53953,0.61494,0.24575,2.291,1.60128,1.83682,0.000291725,0.000291725,0.000291725
127,6038.51,1.57206,1.10057,1.4104,0.81475,0.51628,0.61681,0.25362,2.26241,1.63514,1.78307,0.000280723,0.000280723,0.000280723
128,6085.53,1.57604,1.10382,1.39603,0.77704,0.55113,0.62404,0.24777,2.29638,1.63081,1.84747,0.000269721,0.000269721,0.000269721
129,6132.44,1.54454,1.07781,1.37719,0.79066,0.53488,0.62181,0.24689,2.32915,1.62585,1.85838,0.000258718,0.000258718,0.000258718
130,6179.32,1.59679,1.1006,1.40376,0.6962,0.55349,0.61236,0.23495,2.35029,1.62587,1.893,0.000247716,0.000247716,0.000247716
131,6226.2,1.55238,1.06107,1.38492,0.79667,0.52093,0.6213,0.23406,2.3162,1.5697,1.85194,0.000236714,0.000236714,0.000236714
132,6273.02,1.56085,1.10051,1.39208,0.7765,0.51163,0.603,0.23158,2.28729,1.56938,1.79187,0.000225712,0.000225712,0.000225712
133,6319.92,1.5717,1.08592,1.38896,0.83028,0.53023,0.612,0.23496,2.30246,1.64828,1.82526,0.00021471,0.00021471,0.00021471
134,6366.88,1.52152,1.03441,1.36726,0.83954,0.50698,0.61094,0.23843,2.33954,1.68594,1.83799,0.000203707,0.000203707,0.000203707
135,6413.79,1.54021,1.04358,1.37359,0.83813,0.52093,0.62131,0.23842,2.32675,1.67586,1.84576,0.000192705,0.000192705,0.000192705
136,6460.7,1.52553,1.05115,1.38098,0.80584,0.5212,0.60626,0.24055,2.33477,1.68586,1.84406,0.000181703,0.000181703,0.000181703
137,6507.59,1.52489,1.03894,1.36377,0.79541,0.51628,0.61984,0.24384,2.30088,1.69624,1.78947,0.000170701,0.000170701,0.000170701
